ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,R1,R2,Flag R1,Flag R2,Total academic staff (HC),Total staff (HC),R1a,R2a,Flag R1a,Flag R2a
AT0017,Akademie der bildenden Künste Wien,2016,AT,public,uas,285.41,153.34,1033.29,6.738554845441503,0.5372621842262009,0,0,1150.0,,0.8985130434782609,,1,0
AT0018,Universität für angewandte Kunst Wien,2016,AT,public,uas,402.79,235.81,1153.2,4.8903778465713925,0.585441545222076,0,0,909.0,,1.2686468646864686,,1,0
AT0019,Universität für Musik und darstellende Kunst Wien,2016,AT,public,uas,884.05,595.55,1973.18,3.3132062799093283,0.6736609920253379,1,0,433.0,,4.556997690531177,,1,0
AT0020,Universität Mozarteum Salzburg,2016,AT,public,uas,438.34,301.41,1298.61,4.308450283666765,0.6876169183738652,0,0,735.0,,1.7668163265306118,,1,0
AT0021,Universität für Musik und darstellende Kunst Graz,2016,AT,public,uas,455.61,295.35,1383.31,4.68362959200948,0.6482517942977547,0,0,1023.0,,1.3522091886608014,,1,0
AT0022,Universität für künstlerische und industrielle Gestaltung Linz,2016,AT,public,uas,221.04,133.68,974.01,7.286131059245959,0.6047774158523345,0,0,126.0,,7.7302380952380965,,1,0
AT0023,Katholische Privatuniversität Linz,2016,AT,private,uas,62.58,50.12,269.32,5.373503591380687,0.8008948545861297,0,0,431.0,,0.6248723897911833,,1,0
AT0025,"Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik",2016,AT,private,uas,126.22,87.75,726.62,8.2805698005698,0.6952147044842338,0,0,2291.0,,0.3171628109995635,,1,0
AT0026,Paracelsus Medizinische Privatuniversität Salzburg,2016,AT,private,uas,218.4,190.04,868.67,4.570985055777731,0.8701465201465199,0,2,2106.0,,0.4124738841405508,,2,2
AT0027,Webster University Vienna - Private University,2016,AT,private,uas,60.08,30.5,363.2,11.908196721311473,0.5076564580559254,0,0,,,,,0,2
