ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Region of establishment (NUTS 2),Personnel expenditure (PPP),Total Current expenditure (PPP),Basic government allocation (PPP),Total Current revenues (PPP),Total academic staff (FTE),Total staff (FTE),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,Target,Flag Total Students ISCED 5-7,Flag Total Students ISCED 5,Flag Total Students ISCED 6,Flag Total Students ISCED 7,Flag Total Students ISCED 7 long degree,Flag Total Students ISCED 8,Flag Total Graduates ISCED 5-7,Flag Total Graduates ISCED 5,Flag Total Graduates ISCED 6,Flag Total Graduates ISCED 7,Flag Total Graduates ISCED 7 long degree,Flag Total Graduates ISCED 8,Flag Total Staff FTE,Flag Total Staff HC,Flag Academic Staff FTE,Flag Academic Staff HC,Flag Non-Academic Staff FTE,Flag Total current revenues (NC),Flag Total current expenditures (NC)
AT0005,Technische Universität Wien,2016,AT,public,uas,AT13,193029614.88,302599734.37,205739921.45,328315498.6,2339.23,3318.02,24471.96,2502.5,2170.16,255.5,10.461545038324576,0.7050078058601215,58176.14567724124,0.6379041121165542,0.921673620832227,0.6266530892611354,0.10225989254640824,8.493776908023483,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AT0006,Technische Universität Graz,2016,AT,public,uas,AT22,131506234.56,192278671.86,129215312.78,213353837.56,1408.15,2227.15,11528.09,1736.75,1200.61,175.5,8.18669175869048,0.6322654513616056,59046.869119727,0.6839356299265006,0.9012196549121214,0.6056385685758368,0.15065375096828704,6.841082621082621,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AT0007,Montanuniversität Leoben,2016,AT,public,uas,AT22,47803283.94,68614033.34,45550883.9,84392479.29,512.41,813.57,3377.36,412.83,387.81,69.0,6.591128198122598,0.6298290251607114,58757.431984955176,0.6966983518243645,0.8130349281980432,0.5397505119321396,0.12223452637563065,5.620434782608696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0008,Universität für Bodenkultur Wien,2016,AT,public,uas,AT13,94344202.07,149330473.73,105253436.52,164191599.65,1080.16,1641.48,10114.98,1551.17,900.36,159.0,9.36433491334617,0.6580403050905281,57475.08472232375,0.6317813083522453,0.9094891215404514,0.6410403257192457,0.15335373871228614,5.662641509433963,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0009,Veterinärmedizinische Universität Wien,2016,AT,public,uas,AT13,65648155.28,117300878.67,93590477.68,121264932.61,526.79,1083.38,1724.7,216.25,295.17,58.0,3.273980143890355,0.4862467462940057,60595.68690579482,0.5596561255494643,0.9673107974854628,0.7717851786632846,0.12538412477532326,5.089137931034483,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AT0010,Wirtschaftsuniversität Wien,2016,AT,public,uas,AT13,88591227.1,127570854.31,92164608.67,140397217.35,775.63,1348.74,19770.87,3188.0,822.62,105.5,25.4900790325284,0.5750774797218144,65684.43665940063,0.6944472354533375,0.908642327233418,0.6564560922902081,0.1612473300365639,7.797345971563983,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AT0011,Universität Linz,2016,AT,public,uas,AT31,108658104.11,146616371.99,105931811.0,154294922.42,1044.74,1737.23,16133.25,1708.0,1221.48,181.0,15.442358864406454,0.6013826609027014,62546.757832871874,0.7411048482185266,0.9502345877001804,0.6865540961331656,0.10586831543551364,6.748508287292818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0012,Universität Klagenfurt,2016,AT,public,uas,AT21,52403235.43,63701353.26,51539864.44,68344248.1,497.49,835.58,8127.37,1348.5,785.74,68.5,16.336750487446984,0.5953828478422174,62714.803406017374,0.8226392807718509,0.932066048437513,0.7541214641002101,0.16592083293857668,11.470656934306572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0013,Universität für Weiterbildung Krems,2016,AT,public,uas,AT12,31497292.17,45078080.52,11584497.26,45945494.83,303.56,526.09,8471.86,1418.33,8.0,0.0,27.90835419686389,0.5770115379497804,59870.53958448174,0.6987274481668635,0.9811207973010312,0.25213565122898474,0.16741660036875014,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0014,Medizinische Universität Wien,2016,AT,public,uas,AT13,350998037.4,466955226.67,359377619.8,485392089.01,2633.87,4174.91,5369.28,741.5,1303.2,138.0,2.038551636944876,0.6308806656909969,84073.19855996895,0.7516738594041958,0.9620165578355354,0.7403862319490669,0.1381004529471363,9.443478260869565,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
